user_id,post_id,likes,shares,comments,content_type
1,1,261,985,419,videos
2,2,5655,478,62,reels
3,3,5046,635,25,images
4,4,1778,85,116,images
5,5,302,20,389,videos
6,6,2212,351,408,images
7,7,1770,364,496,videos
8,8,1597,508,125,images
9,9,2021,361,329,carousel
10,10,288,434,195,carousel
11,11,7734,567,94,images
12,12,187,791,257,images
13,13,4356,25,267,reels
14,14,7377,838,2,carousel
15,15,3822,7,367,carousel
16,16,2677,434,380,videos
17,17,3344,995,457,reels
18,18,2928,147,368,videos
19,19,7735,729,121,carousel
20,20,2198,782,385,carousel
21,21,3215,948,427,videos
22,22,4986,162,43,carousel
23,23,1670,992,240,images
24,24,4073,787,349,images
25,25,1561,953,429,videos
26,26,6105,479,475,carousel
27,27,752,642,49,reels
28,28,2613,880,423,videos
29,29,1755,548,480,videos
30,30,5048,994,310,videos
31,31,3919,563,46,videos
32,32,190,949,461,images
33,33,4354,153,31,images
34,34,7397,549,476,carousel
35,35,1899,140,331,videos
36,36,3879,267,487,reels
37,37,8157,903,287,carousel
38,38,5032,552,232,carousel
39,39,1737,40,17,images
40,40,5716,894,266,reels
41,41,4350,900,261,carousel
42,42,2844,57,100,videos
43,43,8601,293,406,carousel
44,44,3109,248,322,videos
45,45,503,589,351,images
46,46,2074,866,123,images
47,47,5658,251,114,videos
48,48,4373,717,154,images
49,49,4623,953,296,videos
50,50,8965,605,36,videos
51,51,142,238,345,images
52,52,6190,744,122,reels
53,53,7286,992,355,images
54,54,8843,391,480,images
55,55,4706,577,342,images
56,56,1308,845,316,images
57,57,5527,710,391,images
58,58,1029,947,100,videos
59,59,3777,213,182,carousel
60,60,4054,912,335,reels
61,61,8572,258,372,videos
62,62,6962,110,417,images
63,63,204,449,378,videos
64,64,6717,183,406,images
65,65,6973,72,228,reels
66,66,8301,467,332,videos
67,67,1938,698,460,reels
68,68,6529,295,182,videos
69,69,6749,466,211,images
70,70,395,487,108,images
71,71,5048,231,165,images
72,72,6335,811,424,videos
73,73,621,705,481,images
74,74,5932,249,77,videos
75,75,4964,633,337,videos
76,76,1854,65,470,videos
77,77,2159,73,258,videos
78,78,3504,164,78,videos
79,79,1035,204,437,reels
80,80,1941,724,130,videos
81,81,507,59,88,videos
82,82,8012,793,310,reels
83,83,7231,748,179,videos
84,84,3651,498,30,videos
85,85,2361,506,469,carousel
86,86,1847,757,111,reels
87,87,8496,375,331,reels
88,88,244,496,375,images
89,89,9033,951,314,reels
90,90,6322,106,366,videos
91,91,8369,913,190,images
92,92,670,806,286,carousel
93,93,3812,342,445,videos
94,94,4774,27,207,reels
95,95,1563,202,116,carousel
96,96,9949,220,241,images
97,97,8871,17,448,images
98,98,7269,752,69,images
99,99,2155,454,472,videos
100,100,6977,329,329,videos
101,101,3786,895,468,videos
102,102,51,192,243,videos
103,103,533,282,29,reels
104,104,7751,536,362,images
105,105,3790,632,12,reels
106,106,9075,88,463,carousel
107,107,6950,489,34,carousel
108,108,2917,903,68,reels
109,109,3197,781,353,carousel
110,110,1973,405,455,images
111,111,4345,645,160,videos
112,112,8566,633,492,videos
113,113,615,717,28,reels
114,114,7317,754,184,videos
115,115,5925,427,118,videos
116,116,8181,889,146,videos
117,117,4348,168,304,reels
118,118,4620,889,442,reels
119,119,5962,735,5,carousel
120,120,8215,544,403,carousel
121,121,8213,944,199,images
122,122,3538,176,489,images
123,123,8200,420,98,carousel
124,124,9771,380,74,reels
125,125,9174,304,410,reels
126,126,9410,904,322,reels
127,127,3565,54,142,reels
128,128,9721,190,32,carousel
129,129,592,601,308,videos
130,130,4877,540,485,reels
131,131,2465,548,110,images
132,132,2043,663,432,videos
133,133,2574,140,67,videos
134,134,1566,822,178,reels
135,135,3250,586,241,images
136,136,8919,826,377,carousel
137,137,1829,588,192,images
138,138,9466,845,194,videos
139,139,1704,125,318,reels
140,140,7845,976,68,reels
141,141,9929,650,169,carousel
142,142,1375,539,19,carousel
143,143,9911,279,320,reels
144,144,3220,478,276,images
145,145,38,610,316,carousel
146,146,7572,963,467,carousel
147,147,3669,544,352,carousel
148,148,8525,578,234,images
149,149,9337,568,446,videos
150,150,3031,782,250,videos
151,151,4284,480,423,carousel
152,152,7516,203,59,reels
153,153,1194,519,129,images
154,154,9761,270,336,images
155,155,9131,582,378,carousel
156,156,9002,978,451,images
157,157,3042,170,422,carousel
158,158,3668,791,369,carousel
159,159,8167,949,167,videos
160,160,2520,134,42,carousel
161,161,1823,747,382,images
162,162,7969,370,102,videos
163,163,3361,485,390,images
164,164,2813,972,393,videos
165,165,3174,685,422,reels
166,166,4772,5,110,images
167,167,8174,775,65,images
168,168,1606,310,129,reels
169,169,1049,35,369,videos
170,170,153,958,19,images
171,171,6161,760,174,carousel
172,172,4767,321,483,reels
173,173,7608,182,110,reels
174,174,7052,739,90,videos
175,175,4594,864,20,videos
176,176,4918,596,451,videos
177,177,9026,385,422,carousel
178,178,1599,364,179,videos
179,179,1644,256,124,reels
180,180,3688,653,176,videos
181,181,5678,719,282,carousel
182,182,2966,850,152,videos
183,183,9894,147,119,reels
184,184,4588,89,384,carousel
185,185,937,429,164,carousel
186,186,2654,408,80,carousel
187,187,5461,191,40,carousel
188,188,8399,464,13,reels
189,189,7659,438,86,carousel
190,190,6853,138,380,reels
191,191,9079,316,81,carousel
192,192,1126,202,138,reels
193,193,265,544,274,images
194,194,3253,417,216,videos
195,195,3430,383,493,carousel
196,196,1849,276,6,images
197,197,7840,402,338,reels
198,198,7465,683,467,carousel
199,199,5281,234,278,reels
200,200,4208,115,232,videos
201,201,6005,201,416,videos
202,202,4303,734,395,carousel
203,203,5802,134,25,reels
204,204,6450,867,465,carousel
205,205,9247,835,98,videos
206,206,8964,797,233,carousel
207,207,2746,96,17,images
208,208,8548,780,80,videos
209,209,2583,258,166,videos
210,210,7383,14,340,videos
211,211,2283,360,16,images
212,212,9357,854,299,images
213,213,6114,128,23,images
214,214,1644,461,358,reels
215,215,4932,577,198,reels
216,216,8522,514,432,videos
217,217,9440,952,112,carousel
218,218,123,579,437,carousel
219,219,8401,337,180,videos
220,220,3755,311,213,videos
221,221,8806,557,485,carousel
222,222,8248,397,293,carousel
223,223,5653,694,497,reels
224,224,4092,489,253,carousel
225,225,9093,497,188,videos
226,226,642,38,366,images
227,227,7196,146,176,images
228,228,410,116,109,reels
229,229,5845,752,195,carousel
230,230,2281,793,53,reels
231,231,9612,344,440,carousel
232,232,2916,105,267,carousel
233,233,8445,410,145,carousel
234,234,2453,453,190,images
235,235,9457,244,252,videos
236,236,3076,390,274,videos
237,237,8454,392,91,images
238,238,5183,298,248,carousel
239,239,3974,366,371,carousel
240,240,5314,685,5,reels
241,241,5380,743,8,images
242,242,4985,850,312,images
243,243,4739,300,389,carousel
244,244,7071,867,26,reels
245,245,4271,575,369,reels
246,246,5393,416,8,images
247,247,4479,395,287,carousel
248,248,8487,986,435,videos
249,249,9517,903,373,carousel
250,250,3004,31,45,carousel
251,251,3796,927,98,reels
252,252,8187,791,450,images
253,253,6403,206,468,reels
254,254,517,488,8,images
255,255,5222,976,367,videos
256,256,601,564,358,carousel
257,257,6910,89,165,videos
258,258,3660,753,48,carousel
259,259,723,343,344,videos
260,260,535,932,82,images
261,261,4711,864,352,reels
262,262,7569,161,134,reels
263,263,5023,972,241,videos
264,264,1087,569,290,reels
265,265,3981,227,357,reels
266,266,130,403,262,videos
267,267,7003,113,427,images
268,268,8052,340,259,images
269,269,3379,897,23,videos
270,270,6254,912,139,images
271,271,2507,331,254,videos
272,272,7966,321,139,videos
273,273,8715,978,488,videos
274,274,9143,136,222,carousel
275,275,9173,937,466,videos
276,276,3191,754,99,images
277,277,710,694,77,images
278,278,1410,186,256,reels
279,279,9623,120,29,videos
280,280,6262,153,193,carousel
281,281,1716,933,472,carousel
282,282,3449,406,264,reels
283,283,5455,525,104,images
284,284,8168,542,198,carousel
285,285,5100,90,357,images
286,286,6773,310,194,reels
287,287,2180,52,229,carousel
288,288,7158,298,172,reels
289,289,6175,461,290,videos
290,290,7141,461,36,videos
291,291,4233,639,70,carousel
292,292,5963,442,228,carousel
293,293,7621,704,91,carousel
294,294,5309,193,266,carousel
295,295,4050,21,29,videos
296,296,5917,526,211,videos
297,297,7240,988,144,carousel
298,298,885,786,272,carousel
299,299,49,459,161,carousel
300,300,6141,924,225,videos
301,301,4429,29,16,reels
302,302,4769,568,5,images
303,303,7242,236,300,reels
304,304,6115,769,165,carousel
305,305,8559,210,236,carousel
306,306,768,634,55,images
307,307,9630,659,296,carousel
308,308,8793,707,263,reels
309,309,2228,951,313,videos
310,310,2490,915,91,carousel
311,311,2886,764,331,carousel
312,312,8917,645,403,videos
313,313,1898,205,227,images
314,314,1657,920,426,reels
315,315,6796,980,392,images
316,316,990,29,110,images
317,317,2354,234,49,reels
318,318,2794,855,156,videos
319,319,4567,809,300,reels
320,320,7803,131,257,videos
321,321,7910,474,38,videos
322,322,3294,705,219,videos
323,323,83,924,28,reels
324,324,9850,468,35,reels
325,325,9357,610,21,reels
326,326,6866,983,267,reels
327,327,9471,685,20,carousel
328,328,1361,891,39,images
329,329,555,97,457,carousel
330,330,1483,465,249,carousel
331,331,9929,966,450,images
332,332,5547,863,197,reels
333,333,9390,121,498,reels
334,334,2970,328,467,images
335,335,6,509,94,videos
336,336,6492,498,201,videos
337,337,5030,454,126,videos
338,338,7988,447,383,carousel
339,339,7072,741,279,carousel
340,340,7993,591,416,carousel
341,341,9350,233,262,images
342,342,4130,102,204,images
343,343,2345,837,273,images
344,344,815,384,243,reels
345,345,4073,386,455,carousel
346,346,8302,514,55,reels
347,347,6183,629,486,reels
348,348,2418,457,321,reels
349,349,5632,764,225,videos
350,350,7547,139,379,videos
351,351,3530,371,231,images
352,352,1766,886,323,images
353,353,9341,197,385,carousel
354,354,9267,225,156,videos
355,355,8509,565,405,reels
356,356,8724,768,273,reels
357,357,1415,962,36,videos
358,358,7153,974,459,reels
359,359,9633,840,481,videos
360,360,179,768,481,reels
361,361,5146,136,185,images
362,362,9702,937,291,reels
363,363,3653,439,211,carousel
364,364,1795,714,145,carousel
365,365,513,432,86,carousel
366,366,7996,910,227,videos
367,367,9638,676,392,videos
368,368,3826,628,92,videos
369,369,8533,913,304,images
370,370,2013,987,312,images
371,371,1369,167,113,carousel
372,372,4178,724,212,videos
373,373,1939,979,1,images
374,374,3915,544,235,reels
375,375,8979,286,338,reels
376,376,9450,736,1,carousel
377,377,5063,247,156,videos
378,378,3872,655,211,reels
379,379,4303,302,446,images
380,380,8916,174,485,images
381,381,357,770,119,images
382,382,6169,736,499,reels
383,383,8001,804,93,videos
384,384,382,340,463,carousel
385,385,9957,396,201,videos
386,386,1166,887,178,carousel
387,387,523,845,100,videos
388,388,4042,25,155,videos
389,389,4388,557,376,reels
390,390,690,14,88,images
391,391,8086,618,219,videos
392,392,9050,446,288,images
393,393,3667,885,318,carousel
394,394,1075,404,303,carousel
395,395,3722,666,424,reels
396,396,3836,937,461,carousel
397,397,3810,890,455,reels
398,398,6784,891,354,videos
399,399,1958,135,145,reels
400,400,2926,285,306,reels
401,401,7012,179,15,reels
402,402,347,178,308,videos
403,403,1819,280,139,reels
404,404,6307,17,170,images
405,405,8339,149,38,videos
406,406,8068,315,474,videos
407,407,2166,227,87,videos
408,408,628,29,147,reels
409,409,2030,102,316,carousel
410,410,6670,558,292,images
411,411,9111,792,292,carousel
412,412,1582,531,436,reels
413,413,541,6,364,carousel
414,414,8876,731,433,images
415,415,9636,909,141,reels
416,416,1153,27,319,images
417,417,6786,301,391,images
418,418,2567,706,30,reels
419,419,7470,948,379,images
420,420,392,254,117,reels
421,421,8498,35,128,videos
422,422,7975,573,249,images
423,423,5338,366,47,images
424,424,9172,130,357,reels
425,425,7483,143,452,images
426,426,1490,58,74,carousel
427,427,8357,521,63,reels
428,428,3657,633,230,reels
429,429,821,747,124,carousel
430,430,4125,134,299,images
431,431,8981,435,135,carousel
432,432,8707,706,200,carousel
433,433,9970,384,213,videos
434,434,2959,743,355,images
435,435,2782,398,210,carousel
436,436,989,586,96,reels
437,437,1378,912,472,carousel
438,438,8570,230,323,videos
439,439,7689,754,217,videos
440,440,2887,785,414,videos
441,441,7118,684,199,reels
442,442,5737,682,42,reels
443,443,3315,568,311,videos
444,444,717,837,158,carousel
445,445,2274,901,158,reels
446,446,8079,37,122,images
447,447,6744,530,232,images
448,448,9215,912,474,reels
449,449,6887,631,316,images
450,450,2188,442,80,images
451,451,4011,65,11,videos
452,452,837,524,220,reels
453,453,3558,726,143,images
454,454,5482,222,168,videos
455,455,6760,302,332,images
456,456,186,358,86,images
457,457,1631,201,122,reels
458,458,784,661,431,carousel
459,459,5173,787,148,reels
460,460,9461,572,4,carousel
461,461,9158,523,293,videos
462,462,7917,128,278,videos
463,463,632,701,313,videos
464,464,8343,852,239,carousel
465,465,2520,240,83,reels
466,466,7559,117,132,reels
467,467,6935,445,404,videos
468,468,7221,179,412,images
469,469,5852,72,476,reels
470,470,5829,577,344,reels
471,471,3832,321,122,reels
472,472,1890,282,437,reels
473,473,121,582,251,videos
474,474,6558,552,355,carousel
475,475,6877,603,376,carousel
476,476,4158,489,365,carousel
477,477,3729,919,235,videos
478,478,9073,450,175,videos
479,479,6148,632,322,images
480,480,3362,553,481,reels
481,481,1465,931,373,videos
482,482,7964,580,133,reels
483,483,7511,937,203,videos
484,484,7002,707,482,videos
485,485,3660,74,430,carousel
486,486,6568,325,324,videos
487,487,689,994,481,images
488,488,8975,742,243,images
489,489,6413,50,124,reels
490,490,9363,125,220,videos
491,491,3896,442,180,carousel
492,492,4023,460,118,carousel
493,493,7330,430,435,carousel
494,494,6697,244,298,reels
495,495,3915,835,158,images
496,496,9532,703,51,videos
497,497,3212,276,277,carousel
498,498,7432,351,59,carousel
499,499,2963,985,407,images
500,500,7125,32,400,images
501,501,2574,737,463,videos
502,502,8064,671,15,videos
